Equipo,Posición,PJ,Puntos,DG,GF,GC
Universidad Católica,1,23,48,27.0,51.0,24.0
Unión La Calera,2,22,45,16.0,40.0,24.0
Unión Española,3,25,45,10.0,43.0,33.0
Antofagasta,4,26,40,5.0,34.0,29.0
Curicó Unido,5,24,37,-5.0,28.0,33.0
Universidad de Chile,6,25,36,9.0,37.0,28.0
Palestino,7,25,35,-1.0,30.0,31.0
Huachipato,8,26,34,-3.0,29.0,32.0
Cobresal,9,25,33,1.0,31.0,30.0
Everton,10,26,32,-1.0,30.0,31.0
Santiago Wanderers,11,25,32,-8.0,33.0,41.0
La Serena,12,25,31,-3.0,26.0,29.0
Universidad de Concepción,13,26,31,-7.0,30.0,37.0
Audax Italiano,14,26,29,-5.0,36.0,41.0
O'Higgins,15,24,28,-4.0,29.0,33.0
Iquique,16,24,27,-7.0,26.0,33.0
Coquimbo Unido,17,25,26,-13.0,23.0,36.0
Colo-Colo,18,24,22,-11.0,25.0,36.0
