Fecha,Local,Visita,GL,GV,Jugado
1,Everton,Universidad de Concepción,2,1,1
1,O'Higgins,Unión La Calera,1,2,1
1,Antofagasta,Coquimbo Unido,2,1,1
1,Audax Italiano,Cobresal,4,1,1
1,Santiago Wanderers,Universidad Católica,0,3,1
1,Huachipato,Universidad de Chile,2,1,1
1,Unión Española,Iquique,3,2,1
1,Curicó Unido,La Serena,1,0,1
1,Colo-Colo,Palestino,3,0,1
2,Unión La Calera,Unión Española,1,0,1
2,Universidad de Concepción,Santiago Wanderers,0,2,1
2,Palestino,Huachipato,1,0,1
2,Universidad de Chile,Curicó Unido,5,1,1
2,Cobresal,Colo-Colo,2,1,1
2,Universidad Católica,O'Higgins,3,2,1
2,Iquique,Everton,2,2,1
2,La Serena,Antofagasta,0,1,1
2,Coquimbo Unido,Audax Italiano,0,0,1
3,La Serena,Cobresal,1,2,1
3,Huachipato,Universidad de Concepción,1,1,1
3,Universidad de Chile,Unión La Calera,3,0,1
3,Curicó Unido,Iquique,1,0,1
3,Antofagasta,Universidad Católica,2,3,1
3,Audax Italiano,Colo-Colo,2,1,1
3,Unión Española,Palestino,1,1,1
3,O'Higgins,Santiago Wanderers,2,1,1
3,Everton,Coquimbo Unido,1,0,1
4,Unión La Calera,La Serena,2,1,1
4,Santiago Wanderers,Universidad de Chile,1,2,1
4,Palestino,O'Higgins,0,0,1
4,Iquique,Antofagasta,0,4,1
4,Cobresal,Everton,1,1,1
4,Colo-Colo,Universidad Católica,0,2,1
4,Universidad de Concepción,Curicó Unido,1,2,1
4,Unión Española,Audax Italiano,1,2,1
4,Coquimbo Unido,Huachipato,1,2,1
5,Antofagasta,Universidad de Concepción,1,1,1
5,Universidad Católica,Iquique,3,1,1
5,Huachipato,Cobresal,1,0,1
5,Everton,Unión La Calera,0,1,1
5,La Serena,Santiago Wanderers,3,0,1
5,Universidad de Chile,Coquimbo Unido,1,1,1
5,Audax Italiano,Palestino,0,1,1
5,Curicó Unido,Colo-Colo,1,0,1
5,O'Higgins,Unión Española,1,3,1
6,Unión La Calera,Universidad Católica,1,1,1
6,Cobresal,Iquique,1,1,1
6,Colo-Colo,Universidad de Concepción,2,2,1
6,Unión Española,Everton,2,0,1
6,Coquimbo Unido,La Serena,2,1,1
6,O'Higgins,Universidad de Chile,2,3,1
6,Palestino,Antofagasta,2,2,1
6,Curicó Unido,Huachipato,1,0,1
6,Santiago Wanderers,Audax Italiano,3,3,1
7,Universidad de Chile,Everton,0,0,1
7,Universidad de Concepción,Cobresal,2,2,1
7,La Serena,Colo-Colo,1,2,1
7,Antofagasta,Curicó Unido,0,0,1
7,Iquique,O'Higgins,1,0,1
7,Unión La Calera,Coquimbo Unido,2,0,1
7,Santiago Wanderers,Palestino,1,2,1
7,Huachipato,Audax Italiano,2,1,1
7,Universidad Católica,Unión Española,0,1,1
8,Cobresal,Universidad Católica,0,1,1
8,Everton,La Serena,0,0,1
8,Coquimbo Unido,Iquique,0,3,1
8,Unión Española,Huachipato,4,4,1
8,Audax Italiano,Universidad de Concepción,1,1,1
8,Colo-Colo,Santiago Wanderers,2,3,1
8,O'Higgins,Antofagasta,0,1,1
8,Palestino,Universidad de Chile,2,2,1
8,Curicó Unido,Unión La Calera,0,2,1
9,Universidad de Concepción,Unión Española,2,3,1
9,Palestino,Everton,1,0,1
9,Unión La Calera,Cobresal,2,2,1
9,La Serena,O'Higgins,1,1,1
9,Iquique,Huachipato,1,0,1
9,Universidad Católica,Coquimbo Unido,4,1,1
9,Santiago Wanderers,Curicó Unido,2,0,1
9,Antofagasta,Audax Italiano,2,2,1
9,Universidad de Chile,Colo-Colo,1,1,1
10,Universidad de Concepción,Unión La Calera,2,1,1
10,Unión Española,Santiago Wanderers,2,1,1
10,Huachipato,Universidad Católica,1,3,1
10,Cobresal,Curicó Unido,4,0,1
10,Colo-Colo,O'Higgins,0,1,1
10,Coquimbo Unido,Palestino,1,0,1
10,Audax Italiano,La Serena,2,1,1
10,Iquique,Universidad de Chile,0,2,1
10,Everton,Antofagasta,0,0,1
11,Unión La Calera,Colo-Colo,0,0,1
11,Santiago Wanderers,Huachipato,3,2,1
11,Universidad Católica,Audax Italiano,3,0,1
11,O'Higgins,Everton,1,2,1
11,Universidad de Chile,Cobresal,2,1,1
11,La Serena,Universidad de Concepción,0,1,1
11,Curicó Unido,Coquimbo Unido,2,1,1
11,Palestino,Iquique,2,0,1
11,Antofagasta,Unión Española,2,0,1
12,Iquique,Unión La Calera,0,3,1
12,Universidad de Concepción,O'Higgins,1,4,1
12,Cobresal,Palestino,2,1,1
12,Coquimbo Unido,Santiago Wanderers,2,1,1
12,Huachipato,La Serena,1,1,1
12,Everton,Universidad Católica,2,2,1
12,Audax Italiano,Curicó Unido,0,0,1
12,Unión Española,Universidad de Chile,3,1,1
12,Colo-Colo,Antofagasta,1,0,1
13,Palestino,Universidad de Concepción,0,1,1
13,Santiago Wanderers,Iquique,3,1,1
13,O'Higgins,Coquimbo Unido,1,4,1
13,La Serena,Unión Española,0,2,1
13,Antofagasta,Cobresal,2,1,1
13,Curicó Unido,Everton,1,3,1
13,Colo-Colo,Huachipato,0,1,1
13,Universidad Católica,Universidad de Chile,3,0,1
13,Unión La Calera,Audax Italiano,3,2,1
14,O'Higgins,Cobresal,0,2,1
14,Unión Española,Curicó Unido,2,1,1
14,Coquimbo Unido,Colo-Colo,2,2,1
14,Iquique,Audax Italiano,2,1,1
14,Huachipato,Antofagasta,0,0,1
14,Everton,Santiago Wanderers,2,2,1
14,Universidad Católica,Universidad de Concepción,1,1,1
14,Unión La Calera,Palestino,1,0,1
14,Universidad de Chile,La Serena,3,0,1
15,La Serena,Palestino,4,2,1
15,Cobresal,Coquimbo Unido,0,1,1
15,Huachipato,Everton,1,0,1
15,Colo-Colo,Unión Española,3,5,1
15,Universidad de Concepción,Iquique,1,1,1
15,Santiago Wanderers,Unión La Calera,0,3,1
